"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"5004","Exemption","Any Exemption","States","Massachusetts","2013-14","1.5","79894","NULL","†","1192","Census"
"5005","Exemption","Any Exemption","States","Oklahoma","2013-14","1.5","57377","NULL","NULL","880","Voluntary response"
"5006","Exemption","Any Exemption","States","District of Columbia","2013-14","1.5","7856","NULL","NULL","118","Census"
"5007","Exemption","Any Exemption","States","Pennsylvania","2012-13","2","151364","NULL","||","2982","Census"
"5008","Exemption","Any Exemption","States","Wyoming","2012-13","2.3","8133","NULL","†.‡‡","183","Census"
"5009","Exemption","Any Exemption","States","Georgia","2012-13","2.3","142732","NULL","†","77","2-stage Cluster Sample"
"5010","Exemption","Any Exemption","States","Hawaii","2012-13","2.5","20104","NULL","†. *","156","2-stage Cluster Sample"
"5011","Exemption","Any Exemption","States","New Hampshire","2012-13","2.5","12943","NULL","†","328","Census"
"5012","Exemption","Any Exemption","States","Nevada","2012-13","2.5","36070","NULL","†","309","2-stage Cluster Sample"
"5013","Exemption","Any Exemption","States","California","2012-13","3","535523","NULL","‡","15845","Census"
"5014","Exemption","Any Exemption","States","Montana","2012-13","3.5","12516","NULL","†","439","Census"
"5015","Exemption","Any Exemption","States","Utah","2012-13","3.8","54605","NULL","NULL","2099","Census"
"5016","Exemption","Any Exemption","States","Arizona","2012-13","4.2","90054","NULL","‡","3790","Census"
"5017","Exemption","Any Exemption","States","Maine","2012-13","4.3","14313","NULL","NULL","620","Census"
"5018","Exemption","Any Exemption","States","Colorado","2012-13","4.3","70657","NULL","NULL","2869","Simple Random Sample"
"5019","Exemption","Any Exemption","States","Wisconsin","2012-13","4.5","72416","NULL","NULL","4380","2-stage Cluster Sample"
"5020","Exemption","Any Exemption","States","Washington","2012-13","4.6","87773","NULL","*","4077","Census"
"5021","Exemption","Any Exemption","States","Alaska","2012-13","5.6","10319","NULL","†","564","Census"
"5022","Exemption","Any Exemption","States","Idaho","2012-13","5.9","23888","NULL","NULL","1399","Census"
"5023","Exemption","Any Exemption","States","Michigan","2012-13","5.9","124662","NULL","NULL","7325","Census"
"5024","Exemption","Any Exemption","States","Illinois","2012-13","6.1","166884","NULL","§","10099","Census"
"5025","Hepatitis B","","States","New Hampshire","2025-26","88.2","11544","100",">=. *. �","NULL","Census"
"5026","Hepatitis B","","States","Idaho","2025-26","82.1","21728","100","*","NULL","Census"
